,Address,Latitude,Longitude,X,Y,Distance from center
29,"Tân Phú, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, 756604",10.730408837026314,106.72697358194873,688857.385186285,1186700.924182258,5901.694671871702
30,"Trường THCS Sương Nguyệt Ánh, Dủổng 195, Khu dân cư Hiệp Ân, Phường 5, Quận 8, Thành phố Hồ Chí Minh, 750510",10.735479404411352,106.65843709663818,681357.385186285,1187220.5394245286,5700.000000000014
31,"Hẻm 283/12/2 Bông Sao, Khu dân cư Hiệp Ân, Phường 5, Quận 8, Thành phố Hồ Chí Minh, 72000",10.73545010169101,106.66392224153508,681957.385186285,1187220.5394245286,5307.5418038862545
32,"Đường 394 Tạ Quang Bửu, Khu dân cư Hiệp Ân, Phường 5, Quận 8, Thành phố Hồ Chí Minh, 72000",10.73542070232057,106.66940737055276,682557.385186285,1187220.5394245286,4956.813492557507
33,"Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, 756912",10.735391206301376,106.67489248363897,683157.385186285,1187220.5394245286,4657.252408878024
34,"Trường trung cấp nghiệp vụ nam Sài Gòn, Cao Lỗ, Phường 4, Quận 8, Thành phố Hồ Chí Minh, 756912",10.735361613634746,106.6803775807414,683757.385186285,1187220.5394245286,4419.275958796888
35,"KDC 6A Intresco, Khu 6, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, 756912",10.735331924322029,106.6858626618078,684357.385186285,1187220.5394245286,4253.234063627366
36,"Đường số 5, KDC Trung Sơn, Khu 6, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, 756912",10.73530213836456,106.69134772678588,684957.385186285,1187220.5394245286,4167.73319683496
37,"Đại học Cảnh sát Nhân dân, Nguyễn Hữu Thọ, Khu 2, Khu Dân cư Kim Sơn, Quận 7, Thành phố Hồ Chí Minh, 72915",10.735272255763693,106.69683277562335,685557.385186285,1187220.5394245286,4167.73319683496
38,"hoa, 523, Lê Văn Lương, Khu 2, Khu Dân cư Kim Sơn, Quận 7, Thành phố Hồ Chí Minh, 72915",10.735242276520777,106.70231780826794,686157.385186285,1187220.5394245286,4253.234063627366
39,"Hưng Thái 2, Nguyễn Đồng Chi, Khu Văn hóa Giải trí, Hưng Thái, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915",10.735212200637164,106.70780282466738,686757.385186285,1187220.5394245286,4419.275958796888
40,"Số 25 Tân Quy Đông, Khu Dân Cư Tân Quy Đông, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 756604",10.735182028114219,106.7132878247694,687357.385186285,1187220.5394245286,4657.252408878024
41,"Đường số 8, Khu Y Tế Điều Dưỡng, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, 756604",10.735151758953302,106.7187728085217,687957.385186285,1187220.5394245286,4956.813492557507
42,"Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, 756604",10.735121393155781,106.72425777587205,688557.385186285,1187220.5394245286,5307.5418038862545
43,"Hẻm 588 Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, 756604",10.735090930723036,106.72974272676812,689157.385186285,1187220.5394245286,5700.000000000014
44,"Hẻm 1459 Phạm Thế Hiển, Phường 6, Quận 8, Thành phố Hồ Chí Minh, 750510",10.740191528631863,106.65572010155525,681057.385186285,1187740.1546667994,5556.077753235593
45,"Hẻm 90/12 Bông Sao, Khu dân cư Hiệp Ân, Phường 5, Quận 8, Thành phố Hồ Chí Minh, 72000",10.74016226114325,106.66120533903224,681657.385186285,1187740.1546667994,5117.616632769544
46,"KDC Him Lam, Dương Quang Đông, Khu dân cư Hiệp Ân, Phường 5, Quận 8, Thành phố Hồ Chí Minh, 72000",10.740132896960628,106.66669056065498,682257.385186285,1187740.1546667994,4714.870093650458
47,"Đường số 17, Phường 4, Quận 8, Thành phố Hồ Chí Minh, 72000",10.740103436085322,106.67217576637121,682857.385186285,1187740.1546667994,4357.751713900126
48,"Trần Thị Nơi, Phường 4, Quận 8, Thành phố Hồ Chí Minh, 756912",10.74007387851866,106.6776609561286,683457.385186285,1187740.1546667994,4058.324777540541
49,"Đường ven sông Xáng, Phường 3, Quận 8, Thành phố Hồ Chí Minh, 756912",10.740044224261986,106.6831461298749,684057.385186285,1187740.1546667994,3830.143600441044
50,"Khu 6, Khu 5 - Khu Thể thao, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, 756912",10.740014473316638,106.68863128755781,684657.385186285,1187740.1546667994,3686.461718233282
51,"Khu dân cư Him Lam, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.739984625683961,106.69411642912505,685257.385186285,1187740.1546667994,3637.306695894571
52,"Duong so 14, Khu dân cư Him Lam, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756912",10.739954681365303,106.69960155452435,685857.385186285,1187740.1546667994,3686.461718233282
53,"Đường Nguyễn Thị Thập, Phường Tân Quy, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, 756604",10.73992464036202,106.70508666370341,686457.385186285,1187740.1546667994,3830.143600441044
