,Keys,Name,Lat,Lon,Addres,5,Is_italian,X,Y
1173,4e53b6156284ca6a2f73d2f7,Ốc Béo,10.8051759,106.6988964,"9/1 Nguyễn Thiện Thuật, Bình Thạnh, Hồ Chí Minh, Thành phố Hồ Chí Minh",132,FALSE,685740.2554,1194954.131
1174,50faa84ee4b01b26788d7bce,Bà Tư Béo,10.80370152,106.7001329,21 Phan Bội Châu,225,FALSE,685876.3938,1194791.796
1175,5473156e498ee71daba0fe0b,Ba con soc,10.80502912,106.6979218,"96 Le Quang Dinh - Binh Thanh, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",236,FALSE,685633.7629,1194937.304
1176,4e6b806be4cdb3755208d20c,Bún Bò Bến Ngự,10.80358924,106.7002366,"Bạch Đằng (Phan Bội Châu), Hồ Chí Minh, www.DGT.vn",238,FALSE,685887.798,1194779.439
1177,54cc7534498eab65c2d5e539,Bánh Canh Hoa Lư,10.80696991,106.7096631,Việt Nam,202,FALSE,686916.5984,1195159.144
1178,4e16982c2271881f204e2541,Mimosa Vuon Xua,10.8062156,106.7138554,"32-35 D5, Phuong 25, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",324,FALSE,687375.5316,1195078.276
1179,4dc28c96887770a6be018c18,Thủy 1 Restaurant,10.80390574,106.7228621,"261 Ung Van Khiem (D1 Street), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",214,FALSE,688361.9516,1194828.308
1180,4df37344c65bf55ee52bb09b,La Villa Restaurant,10.80396472,106.7328908,"14 Ngo Quang Huy Street Thao Dien Ward District 2, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",174,FALSE,689458.6715,1194841.034
1181,4fb0d39bbb3d0b130d38c070,Pendo 2,10.80657651,106.7347016,"36 Tong Huu Dinh St, District 2 (An Phu Residential Area), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",229,TRUE,689655.0629,1195131.065
1182,51a19b02498e46902d98eba9,Le Bacoulos,10.80602692,106.732857,"13 Tống Hữu Định, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",54,FALSE,689453.686,1195069.126
1183,5720d45e498e87eb3a7b355a,Quan bui Garden,10.805196,106.73588,"55 Ngo Quang Huy, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",329,FALSE,689784.806,1194979.089
1184,5263652f498edab2d9cff10e,Lu Bu Restaurant,10.80772783,106.7336981,"97B Thao Dien, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",259,FALSE,689544.6017,1195257.797
1185,57daaae8498eb89365230b67,La Bettola,10.80373,106.734008,Việt Nam,235,TRUE,689581.0008,1194815.763
1186,4d732015311f6ea81410e6ea,TiaTo Garden,10.805221,106.734222,Việt Nam,150,FALSE,689603.4683,1194980.825
1187,58a98ad0dc33292ddde70a1d,Lee's Noodle Kitchen,10.804855,106.73236,"23 Lê Văn Miến, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",95,FALSE,689400.0662,1194939.184
1188,4e507aaeb0fb088f3c2bb816,Warda 2,10.80363055,106.733036,Việt Nam,212,FALSE,689474.7676,1194804.16
1189,586644cdd98f364405604f52,75TD Ramen Bar,10.806424,106.735058,"75 Thao Dien, Thao Dien Ward, District 2, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",257,FALSE,689694.139,1195114.416
1190,4cab123f2f08236a88dd8261,Warda An Phu,10.80286386,106.7327273,"68 Xuan Thuy, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",297,FALSE,689441.4813,1194719.159
1191,5299d49c11d2ce1a3b834225,GoGi House Superbowl,10.80858167,106.6644974,"A43 Truong Son St., Tan Binh Dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",226,FALSE,681976.3684,1195310.147
1192,4cc7add77be65481e3a62923,Chef Mamma,10.80816197,106.6644226,"Saigonbowl Truong Son, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",272,TRUE,681968.4337,1195263.679
1193,52eca1d1498edb682d8cd5e9,Món Huế Restaurant,10.80891878,106.6647569,"32 Trường Sơn, (P.2, Q. Tân Bình), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",193,FALSE,682004.5344,1195347.592
1194,4f964ba2e4b0941278c966e2,Thien Huong Sushi,10.808345,106.664356,A43 Truong Son,252,FALSE,681961.0429,1195283.885
1195,595f69d81b0ea52c2b41c2e1,37Th Street,10.813107,106.662836,"Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",280,FALSE,681791.9522,1195809.717
1196,514efb94e4b0404032242577,Hoa Viên Tri Kỷ,10.81030233,106.6724488,"123 Hồng Hà, P9, Q. Phú Nhuận, Thành phố Hồ Chí Minh",313,FALSE,682844.867,1195505.226
1197,4f3ddab5e4b0e444c9333a1b,Ha Thanh Restaurant,10.81235438,106.6684071,37A Yên Thế,250,FALSE,682401.6324,1195729.791
1198,4f38a1f3e4b039c3c3b96684,Coffee House,10.80859602,106.67166,"422 Dao Duy Anh St., Ward 9, Phu Nhuan Dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",298,FALSE,682759.6412,1195316.013
1199,507fa92fe4b03317a9fbeda1,Quán Ăn Dìn Kys,10.80967082,106.6733816,"10/4 (Hồng Hà P4 Tân Bình), Hồ Chí Minh",232,FALSE,682947.2497,1195435.931
1200,514da165e4b06e0e3c169458,Dìn Ký Seafood Restaurant,10.80967122,106.6733297,"6-8 Hong Ha St., Phu Nhuan Dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",237,FALSE,682941.5828,1195435.944
1201,4e08a38e14959022c89da82c,Pho Hien,10.80914655,106.679312,"Nguyen kiem,p9,q.PN, HCMC",222,FALSE,683596.0997,1195381.499
1202,4f2fc8dce4b0620358f80e72,Cơm Chay Thuyền Viên,10.8087817,106.68519,"189/2/1 Hoàng Hoa Thám (Hoàng Hoa Thám), HCM",224,FALSE,684239.1346,1195344.683
1203,4ead44a2cc21b06a57858519,Bún Mắm 444,10.81296119,106.689913,"369 (Le quang dinh), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",263,FALSE,684753.0727,1195809.846
1204,4e6c911d2271d308c7fff532,Làng Tre - Lẩu Tôm,10.80879777,106.6923153,Việt Nam,194,FALSE,685018.3269,1195350.768
1205,4f7991d9e4b03c36a2abbc2a,Quán 188A - Lau duoi bo,10.81102301,106.6903153,"188A Nguyen Van Dau, Binh Thanh, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",170,FALSE,684798.2498,1195595.7
1206,4e60aff88877954de76a29a3,Asteria Steak House,10.8098907,106.6897116,"162 A Nguyen Van Dau st., Binh Thanh dist., Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",233,FALSE,684732.9255,1195470.085
1207,4e13076645dde6c62de13b02,Cơm Tấm 321,10.81261183,106.6907874,"321 Lê Quang Định, Q. Gò Vấp, Hồ Chí Minh, Thành phố Hồ Chí Minh",342,FALSE,684848.9108,1195771.732
1208,4f13f408e4b03f4c022a93e1,Quán Bi Ốc,10.811056,106.698762,Việt Nam,179,FALSE,685721.9423,1195604.475
1209,4ffc1c14e4b0a2df623f76c2,Bun bo hue Ngon,10.81055645,106.6951175,"107 No Trang long, HCM, Viet Nam",233,FALSE,685323.6985,1195547.002
1210,4f7d7d30e4b08e244dc84a6c,Ốc Về Dêm,10.808526,106.695775,Việt Nam,266,FALSE,685396.8447,1195322.805
1211,4eab573a9a522a65af21792e,Mì Hồng Phát,10.8074173,106.6974438,"58 Pham Văn Trị, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",336,FALSE,685580.0284,1195201.18
1212,50c9e1ede4b0173111999c2a,Cút Nướng QIC,10.810933,106.705728,Việt Nam,332,FALSE,686483.8061,1195595.116
1213,4ed75bfef7905836bff1b599,Cà Kê Quán,10.81250749,106.7004381,Việt Nam,293,FALSE,685904.3469,1195766.051
1214,4e7823388998834aa3e2d266,Hoa Gạo Quán,10.81160054,106.7084654,"No 2 (No 3 Street Chu Văn An Villa), Thành phố Hồ Chí Minh",139,FALSE,686782.7449,1195670.629
1215,4e454b10a809fb2fa3dacc1a,Ong Ba Bay,10.80931342,106.7131874,"Ung Van Khiem, Binh Thanh, Thành phố Hồ Chí Minh",127,FALSE,687300.5568,1195420.532
